 net3            v(b0)           net3            v(b1)           net3            v(b2)           net3            v(b3)           net3            v(b4)           net3            v(b5)           net3            v(b6)           net3            i(v_i_in)       net3            i(vi_out)      
 1.92380123e-01  0.00000000e+00  1.92380123e-01  0.00000000e+00  1.92380123e-01  0.00000000e+00  1.92380123e-01  0.00000000e+00  1.92380123e-01  0.00000000e+00  1.92380123e-01  0.00000000e+00  1.92380123e-01  1.80000000e+00  1.92380123e-01  1.00238086e-05  1.92380123e-01  6.22261123e-06 
 1.92375301e-01  1.80000000e+00  1.92375301e-01  0.00000000e+00  1.92375301e-01  0.00000000e+00  1.92375301e-01  0.00000000e+00  1.92375301e-01  0.00000000e+00  1.92375301e-01  0.00000000e+00  1.92375301e-01  1.80000000e+00  1.92375301e-01  1.00238092e-05  1.92375301e-01  6.49907338e-06 
 1.92374349e-01  0.00000000e+00  1.92374349e-01  1.80000000e+00  1.92374349e-01  0.00000000e+00  1.92374349e-01  0.00000000e+00  1.92374349e-01  0.00000000e+00  1.92374349e-01  0.00000000e+00  1.92374349e-01  1.80000000e+00  1.92374349e-01  1.00238095e-05  1.92374349e-01  6.55347763e-06 
 1.92371484e-01  1.80000000e+00  1.92371484e-01  1.80000000e+00  1.92371484e-01  0.00000000e+00  1.92371484e-01  0.00000000e+00  1.92371484e-01  0.00000000e+00  1.92371484e-01  0.00000000e+00  1.92371484e-01  1.80000000e+00  1.92371484e-01  1.00238098e-05  1.92371484e-01  6.71692014e-06 
 1.92372440e-01  0.00000000e+00  1.92372440e-01  0.00000000e+00  1.92372440e-01  1.80000000e+00  1.92372440e-01  0.00000000e+00  1.92372440e-01  0.00000000e+00  1.92372440e-01  0.00000000e+00  1.92372440e-01  1.80000000e+00  1.92372440e-01  1.00238102e-05  1.92372440e-01  6.66241943e-06 
 1.92368628e-01  1.80000000e+00  1.92368628e-01  0.00000000e+00  1.92368628e-01  1.80000000e+00  1.92368628e-01  0.00000000e+00  1.92368628e-01  0.00000000e+00  1.92368628e-01  0.00000000e+00  1.92368628e-01  1.80000000e+00  1.92368628e-01  1.00238106e-05  1.92368628e-01  6.87935282e-06 
 1.92368625e-01  0.00000000e+00  1.92368625e-01  1.80000000e+00  1.92368625e-01  1.80000000e+00  1.92368625e-01  0.00000000e+00  1.92368625e-01  0.00000000e+00  1.92368625e-01  0.00000000e+00  1.92368625e-01  1.80000000e+00  1.92368625e-01  1.00238111e-05  1.92368625e-01  6.87957181e-06 
 1.92366723e-01  1.80000000e+00  1.92366723e-01  1.80000000e+00  1.92366723e-01  1.80000000e+00  1.92366723e-01  0.00000000e+00  1.92366723e-01  0.00000000e+00  1.92366723e-01  0.00000000e+00  1.92366723e-01  1.80000000e+00  1.92366723e-01  1.00238113e-05  1.92366723e-01  6.98742299e-06 
 1.92368602e-01  0.00000000e+00  1.92368602e-01  0.00000000e+00  1.92368602e-01  0.00000000e+00  1.92368602e-01  1.80000000e+00  1.92368602e-01  0.00000000e+00  1.92368602e-01  0.00000000e+00  1.92368602e-01  1.80000000e+00  1.92368602e-01  1.00238118e-05  1.92368602e-01  6.88081703e-06 
 1.92364331e-01  1.80000000e+00  1.92364331e-01  0.00000000e+00  1.92364331e-01  0.00000000e+00  1.92364331e-01  1.80000000e+00  1.92364331e-01  0.00000000e+00  1.92364331e-01  0.00000000e+00  1.92364331e-01  1.80000000e+00  1.92364331e-01  1.00238122e-05  1.92364331e-01  7.12281069e-06 
 1.92363852e-01  0.00000000e+00  1.92363852e-01  1.80000000e+00  1.92363852e-01  0.00000000e+00  1.92363852e-01  1.80000000e+00  1.92363852e-01  0.00000000e+00  1.92363852e-01  0.00000000e+00  1.92363852e-01  1.80000000e+00  1.92363852e-01  1.00238126e-05  1.92363852e-01  7.14992000e-06 
 1.92361490e-01  1.80000000e+00  1.92361490e-01  1.80000000e+00  1.92361490e-01  0.00000000e+00  1.92361490e-01  1.80000000e+00  1.92361490e-01  0.00000000e+00  1.92361490e-01  0.00000000e+00  1.92361490e-01  1.80000000e+00  1.92361490e-01  1.00238129e-05  1.92361490e-01  7.28319187e-06 
 1.92362887e-01  0.00000000e+00  1.92362887e-01  0.00000000e+00  1.92362887e-01  1.80000000e+00  1.92362887e-01  1.80000000e+00  1.92362887e-01  0.00000000e+00  1.92362887e-01  0.00000000e+00  1.92362887e-01  1.80000000e+00  1.92362887e-01  1.00238133e-05  1.92362887e-01  7.20441362e-06 
 1.92359584e-01  1.80000000e+00  1.92359584e-01  0.00000000e+00  1.92359584e-01  1.80000000e+00  1.92359584e-01  1.80000000e+00  1.92359584e-01  0.00000000e+00  1.92359584e-01  0.00000000e+00  1.92359584e-01  1.80000000e+00  1.92359584e-01  1.00238136e-05  1.92359584e-01  7.39044960e-06 
